Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 800.0 and 3,000.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | simphotons choices
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:-------------------
|           53,156.26 |           18,812.46 |    0.2% |      202,472.05 |      111,261.82 |  1.820 |      72,492.05 |    0.6% |     64.12 | `sum_map_10000`
|           18,647.87 |           53,625.42 |    0.4% |       40,012.02 |       39,017.92 |  1.025 |      10,004.02 |    0.0% |     22.32 | `sum_hashmap_10000`
|            1,754.10 |          570,092.72 |    0.2% |       17,536.00 |        3,674.45 |  4.772 |       2,507.00 |    0.0% |      2.11 | `sum_aosv_10000`
|           10,212.57 |           97,918.50 |    0.3% |       60,795.01 |       21,369.39 |  2.845 |      20,160.01 |    0.0% |     12.18 | `sum_aosd_10000`
|           19,282.23 |           51,861.22 |    0.2% |       40,012.02 |       40,365.94 |  0.991 |      10,004.02 |    0.0% |     23.04 | `sum_aosl_10000`
|            1,688.75 |          592,153.86 |    0.3% |       12,533.00 |        3,539.21 |  3.541 |       2,506.00 |    0.0% |      2.03 | `sum_soav_10000`
|            1,692.12 |          590,975.08 |    0.4% |       12,533.00 |        3,542.93 |  3.537 |       2,506.00 |    0.0% |      2.03 | `sum_soad_10000`
|            1,699.55 |          588,392.02 |    0.8% |       12,533.00 |        3,555.69 |  3.525 |       2,506.00 |    0.0% |      2.03 | `sum_soal_10000`
|           15,809.36 |           63,253.67 |    0.1% |       60,726.02 |       33,083.34 |  1.836 |      21,743.02 |    0.6% |     62.95 | `sum_map_3000`
|            5,735.98 |          174,338.18 |    0.3% |       12,012.01 |       12,007.80 |  1.000 |       3,004.01 |    0.0% |     22.88 | `sum_hashmap_3000`
